,precision,recall,f1-score,support
blues,0.6909090909090909,0.76,0.7238095238095238,100.0
classical,0.9021739130434783,0.83,0.8645833333333334,100.0
country,0.9010989010989011,0.82,0.8586387434554974,100.0
disco,0.776595744680851,0.73,0.7525773195876289,100.0
hiphop,0.7319587628865979,0.71,0.7208121827411168,100.0
jazz,0.8764044943820225,0.7878787878787878,0.8297872340425532,99.0
metal,0.8367346938775511,0.82,0.8282828282828283,100.0
pop,0.8333333333333334,0.8,0.8163265306122449,100.0
reggae,0.7727272727272727,0.85,0.8095238095238095,100.0
rock,0.6557377049180327,0.8,0.7207207207207207,100.0
accuracy,0.7907907907907908,0.7907907907907908,0.7907907907907908,0.7907907907907908
macro avg,0.7977673911857132,0.7907878787878787,0.7925062226109256,999.0
weighted avg,0.7976886753666979,0.7907907907907908,0.7924689042811643,999.0
