,precision,recall,f1-score,support
blues,0.6296296296296297,0.85,0.723404255319149,20.0
classical,1.0,1.0,1.0,13.0
country,0.7619047619047619,0.5925925925925926,0.6666666666666666,27.0
disco,0.8333333333333334,0.7142857142857143,0.7692307692307693,21.0
hiphop,0.5909090909090909,0.8666666666666667,0.7027027027027027,15.0
jazz,0.9523809523809523,0.9090909090909091,0.9302325581395349,22.0
metal,0.8571428571428571,0.96,0.9056603773584906,25.0
pop,0.75,0.6923076923076923,0.72,13.0
reggae,0.7,0.6086956521739131,0.6511627906976745,23.0
rock,0.5555555555555556,0.47619047619047616,0.5128205128205128,21.0
accuracy,0.755,0.755,0.755,0.755
macro avg,0.7630856180856181,0.7669829703307964,0.75818806329355,200.0
weighted avg,0.7621263828763829,0.755,0.751875362345395,200.0
