,precision,recall,f1-score,support
blues,0.0,0.0,0.0,20.0
classical,0.25,0.8461538461538461,0.38596491228070173,13.0
country,0.0,0.0,0.0,27.0
disco,0.16071428571428573,0.42857142857142855,0.23376623376623376,21.0
hiphop,0.0,0.0,0.0,15.0
jazz,0.3333333333333333,0.045454545454545456,0.08,22.0
metal,0.17142857142857143,0.24,0.2,25.0
pop,0.25,0.46153846153846156,0.32432432432432434,13.0
reggae,0.1875,0.2608695652173913,0.21818181818181817,23.0
rock,0.0,0.0,0.0,21.0
accuracy,0.195,0.195,0.195,0.195
macro avg,0.13529761904761903,0.22825878469356725,0.1442237288553078,200.0
weighted avg,0.1290327380952381,0.195,0.12960516401569033,200.0
